,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
172,7,FCA,G,FCN,5,50,2,0,,-1,17,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,-9.0,46.5,0.27684863314047015
173,7,FCA,G,FCN,6,53,2,0,,-1,18,Alu,AusDemSpiel,EB,TieferPass,,,,,,,,,,,,,,R,-7.5,41.0,0.11901317815971224
174,7,FCN,H,FCA,18,54,2,0,,1,19,Alu,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,R,-17.0,35.5,0.36440269839249445
175,7,FCA,G,FCN,7,55,2,0,,-1,20,Block,AusDemSpiel,USO,FlacheHereingabe,,,,,,,,,,,,,,R,-7.0,43.5,0.05208417705304076
279,7,FCA,G,FCN,0,55,2,0,1:1,-1,21,ET,,,,,,,,,,,,,,,,1.0,,,,0.0
176,7,FCN,H,FCA,19,58,2,0,,0,22,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,8.0,16.0,,,,,,,,,,,27.0,R,3.0,36.0,0.11356817823003734
177,7,FCN,H,FCA,20,59,2,0,,0,23,Block,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,10.0,L,-14.5,44.0,0.05435215445242799
178,7,FCN,H,FCA,21,60,2,0,,0,24,Block,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,L,-11.0,24.5,0.0006535509645224076
179,7,FCA,G,FCN,8,62,2,0,,0,25,Block,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,12.5,41.0,0.0481544021159305
180,7,FCN,H,FCA,22,62,2,0,,0,26,Save,AusDemSpiel,USO,Dribbling,10.0,20.0,,,,,,,,,,,7.0,L,-4.5,44.5,0.3316221349836656
181,7,FCN,H,FCA,23,62,2,0,,0,26,Alu,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,27.0,R,14.5,51.0,0.02879229030253957
182,7,FCA,G,FCN,9,65,2,0,,0,27,Save,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,-3.0,32.5,0.07589789243915813
183,7,FCA,G,FCN,10,65,2,0,,0,27,Alu,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,8.0,49.0,0.2651819369194613
184,7,FCA,G,FCN,11,65,2,0,,0,27,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-7.5,42.5,0.061070641212868926
185,7,FCA,G,FCN,12,65,2,0,,0,27,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,1.0,43.5,0.06723925206724647
186,7,FCN,H,FCA,24,71,2,0,,0,28,Save,AusDemSpiel,EB,TieferPass,4.0,1.0,23.0,6.0,,,,,,,,,18.0,R,-13.0,38.5,0.12247478768053227
187,7,FCA,G,FCN,13,76,2,0,,0,29,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,,,,,,,,,,,,,,L,-7.5,32.0,0.0576210471996876
188,7,FCN,H,FCA,25,78,2,0,,0,30,Save,AusDemSpiel,USO,FlacheHereingabe,18.0,4.0,,,,,,,,,,,7.0,R,1.5,49.5,0.8432448718767088
189,7,FCN,H,FCA,26,78,2,0,,0,30,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,10.0,L,7.0,51.0,0.03826297025542023
190,7,FCN,H,FCA,27,78,2,0,2:1,0,30,Tor,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,4.0,R,6.5,40.0,0.06077561643139068
191,7,FCA,G,FCN,14,79,2,0,,-1,31,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,0.5,37.5,0.05960887656236527
192,8,FCN,G,SSV,1,1,1,0,,0,1,Alu,AusDemSpiel,USO,HoheFlanke,27.0,10.0,20.0,,,,,,,,,,7.0,R,5.0,44.0,0.0015751480982948067
193,8,FCN,G,SSV,2,1,1,0,,0,1,Save,AusDemSpiel,USO,FlacheHereingabe,5.0,,,,,,,,,,,,10.0,R,-1.5,47.0,0.24099724569299008
194,8,FCN,G,SSV,3,1,1,0,0:1,0,1,Tor,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,7.0,R,4.0,49.5,0.7517139575613467
195,8,FCN,G,SSV,4,10,1,0,,1,2,Vorbei,AusDemSpiel,USO,KontrollierteVorlage,23.0,10.0,27.0,,,,,,,,,,5.0,R,-2.5,33.0,0.19948318189004222
196,8,SSV,H,FCN,1,14,1,0,,-1,3,Block,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,R,9.5,31.5,0.10087545354452436
197,8,SSV,H,FCN,2,16,1,0,,-1,4,Save,AusDemSpiel,EB,TieferPass,,,,,,,,,,,,,,R,-11.0,42.0,0.21723565899346323
198,8,SSV,H,FCN,3,19,1,0,1:1,-1,5,Tor,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-5.0,33.5,0.31209204910282645
199,8,FCN,G,SSV,5,23,1,0,,0,6,TLK,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,26.0,L,-15.5,41.5,0.09173047620848733
200,8,FCN,G,SSV,6,28,1,0,,0,7,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,10.0,L,-16.5,44.5,0.1014541405640311
201,8,FCN,G,SSV,7,29,1,0,,0,8,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,23.0,R,-25.0,20.5,2.2814187385741708e-05
202,8,FCN,G,SSV,8,37,1,0,1:2,0,9,Tor,Elfmeter,11M,DirekterStandard,,,,,,,,,,,,,7.0,R,-0.0,41.5,0.7524673905236755
203,8,FCN,G,SSV,9,40,1,0,,1,10,Vorbei,AusDemSpiel,EB,Dribbling,26.0,4.0,20.0,26.0,16.0,23.0,,,,,,,16.0,R,-15.5,27.0,0.01014219064946123
204,8,SSV,H,FCN,4,41,2,0,,-1,11,Alu,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,R,-0.0,7.0,9.512202596214249e-05
205,8,FCN,G,SSV,10,42,2,0,1:3,1,12,Tor,AusDemSpiel,USO,Dribbling,10.0,,,,,,,,,,,,27.0,R,10.0,44.5,0.1782776036134373
206,8,SSV,H,FCN,5,46,2,0,,-2,13,Vorbei,AusDemSpiel,nEW,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,-7.0,38.5,0.08420986505954693
207,8,SSV,H,FCN,6,46,2,0,,-2,13,Vorbei,AusDemSpiel,nEW,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,-1.5,36.5,0.02049730671554145
208,8,SSV,H,FCN,7,46,2,0,,-2,13,Vorbei,AusDemSpiel,nEW,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-3.0,38.5,0.06328286681735713
209,8,FCN,G,SSV,11,49,2,0,,2,14,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,8.0,R,8.0,31.0,0.06806515524671725
210,8,SSV,H,FCN,8,50,2,0,,-2,15,Save,AusDemSpiel,USO,HoheFlanke,,,,,,,,,,,,,,K,-2.5,40.5,0.0989107176336689
211,8,FCN,G,SSV,12,54,2,0,,2,16,Block,AusDemSpiel,USO,Dribbling,7.0,,,,,,,,,,,,10.0,L,-12.5,36.5,0.09910910401979128
212,8,FCN,G,SSV,13,57,2,0,,2,17,Vorbei,AusDemSpiel,nEW,KontrollierteVorlage,7.0,4.0,,,,,,,,,,,27.0,R,15.0,39.0,0.05141961316623554
213,8,SSV,H,FCN,9,62,2,0,,-2,18,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,R,25.0,38.0,0.018532303512782282
214,8,SSV,H,FCN,10,65,2,0,,-2,19,Save,Freistoss,FSS,DirekterStandard,,,,,,,,,,,,,,R,5.0,26.5,0.029283985720004388
215,8,SSV,H,FCN,11,65,2,0,,-2,19,Save,Freistoss,nFS,UnkontrollierteVorbereitung,,,,,,,,,,,,,,L,8.5,46.5,0.3582912793284132
216,8,FCN,G,SSV,14,65,2,0,,2,20,Vorbei,AusDemSpiel,USO,TieferPass,7.0,20.0,,,,,,,,,,,13.0,L,12.5,32.0,0.09298115158689192
217,8,FCN,G,SSV,15,69,2,0,,2,21,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,26.0,R,-4.0,27.5,0.0141538451546265
218,8,FCN,G,SSV,16,72,2,0,,2,22,Block,AusDemSpiel,EW,KontrollierteVorlage,25.0,4.0,,,,,,,,,,,10.0,L,2.5,41.0,0.016796034633923686
